Name,Description,Type,Unit
file-name,Accelerometer file name. Not for public display,string,N/A
file-size,Accelerometer file size,integer,byte
file-deviceID,Accelerometer device ID,integer,N/A
file-startTime,Accelerometer start time,string,N/A
file-endTime,Accelerometer end time,string,N/A
"file-firstDay(0=mon,6=sun)","Accelerometer start day (0=mon, 6=sun)",integer,N/A
totalReads,Accelerometer total reads,integer,count
calibration-xOffset(g),Accelerometer calibration x-axis offset,numeric,gravity
calibration-yOffset(g),Accelerometer calibration y-axis offset,numeric,gravity
calibration-zOffset(g),Accelerometer calibration z-axis offset,numeric,gravity
calibration-xSlope,Accelerometer calibration x-axis slope,numeric,dimensionless
calibration-ySlope,Accelerometer calibration y-axis slope,numeric,dimensionless
calibration-zSlope,Accelerometer calibration z-axis slope,numeric,dimensionless
calibration-xSlopeTemp,Accelerometer calibration x-axis temperature slope,numeric,dimensionless
calibration-ySlopeTemp,Accelerometer calibration y-axis temperature slope,numeric,dimensionless
calibration-zSlopeTemp,Accelerometer calibration z-axis temperature slope,numeric,dimensionless
calibration-errsBefore(mg),Accelerometer miscalibration error before calibration,numeric,milligravity
calibration-errsAfter(mg),Accelerometer miscalibration error after calibration,numeric,milligravity
calibration-numStaticPoints,Number of static points used for accelerometer calibration,integer,count
quality-calibratedOnOwnData,Whether accelerometer was calibrated on own data,boolean,N/A
quality-goodCalibration,Whether accelerometer calibration was successful,boolean,N/A
clipsBeforeCalibration,Accelerometer value clips before calibration,integer,count
clipsAfterCalibration,Accelerometer value clips after calibration,integer,count
quality-daylightSavingsCrossover,Whether there was a daylight saving time change in accelerometer data,boolean,N/A
errs-interrupts-num,Number of interrupts in accelerometer data,integer,count
errs-interrupt-mins,Total duration of interrupts in accelerometer data,numeric,minute
wearTime-numNonWearEpisodes(>1hr),Number of non-wear episodes in accelerometer data,integer,count
wearTime-overall(days),Total accelerometer wear time,numeric,day
nonWearTime-overall(days),Total accelerometer non-wear time,numeric,day
quality-goodWearTime,Whether accelerometer wear time is good enough (>=3 days),boolean,N/A
day0-recorded-wearTime(hrs),Accelerometer wear time (day 0),numeric,hour
day0-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 0),numeric,hour
day0-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 0),numeric,hour
day0-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 0),numeric,hour
day0-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 0),numeric,hour
day0-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 0),numeric,hour
day0-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 0),numeric,hour
day1-recorded-wearTime(hrs),Accelerometer wear time (day 1),numeric,hour
day1-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 1),numeric,hour
day1-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 1),numeric,hour
day1-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 1),numeric,hour
day1-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 1),numeric,hour
day1-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 1),numeric,hour
day1-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 1),numeric,hour
day2-recorded-wearTime(hrs),Accelerometer wear time (day 2),numeric,hour
day2-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 2),numeric,hour
day2-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 2),numeric,hour
day2-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 2),numeric,hour
day2-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 2),numeric,hour
day2-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 2),numeric,hour
day2-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 2),numeric,hour
day3-recorded-wearTime(hrs),Accelerometer wear time (day 3),numeric,hour
day3-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 3),numeric,hour
